STATUS | wrapper  | 2020/12/07 21:02:48 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2020/12/07 21:02:48 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 21:02:48 | JVM exited while loading the application.
INFO   | jvm 1    | 2020/12/07 21:02:48 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2020/12/07 21:02:48 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 1    | 2020/12/07 21:02:48 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 1    | 2020/12/07 21:02:48 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 21:02:52 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 21:02:53 | JVM exited while loading the application.
INFO   | jvm 2    | 2020/12/07 21:02:53 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 2    | 2020/12/07 21:02:53 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 2    | 2020/12/07 21:02:53 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 2    | 2020/12/07 21:02:53 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 21:02:57 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 21:02:57 | JVM exited while loading the application.
INFO   | jvm 3    | 2020/12/07 21:02:57 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 3    | 2020/12/07 21:02:57 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 3    | 2020/12/07 21:02:57 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 3    | 2020/12/07 21:02:57 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 21:03:01 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 21:03:01 | JVM exited while loading the application.
INFO   | jvm 4    | 2020/12/07 21:03:01 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 4    | 2020/12/07 21:03:01 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 4    | 2020/12/07 21:03:01 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 4    | 2020/12/07 21:03:01 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 21:03:05 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 21:03:05 | JVM exited while loading the application.
INFO   | jvm 5    | 2020/12/07 21:03:05 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 5    | 2020/12/07 21:03:05 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 5    | 2020/12/07 21:03:05 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 5    | 2020/12/07 21:03:05 | Error: A fatal exception has occurred. Program will exit.
FATAL  | wrapper  | 2020/12/07 21:03:05 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2020/12/07 21:03:05 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2020/12/07 21:03:05 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/12/07 22:28:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/12/07 22:28:30 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 22:28:30 | JVM exited while loading the application.
INFO   | jvm 1    | 2020/12/07 22:28:30 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 1    | 2020/12/07 22:28:30 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 1    | 2020/12/07 22:28:30 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 1    | 2020/12/07 22:28:30 | Error: A fatal exception has occurred. Program will exit.
STATUS | wrapper  | 2020/12/07 22:28:35 | Launching a JVM...
ERROR  | wrapper  | 2020/12/07 22:28:35 | JVM exited while loading the application.
INFO   | jvm 2    | 2020/12/07 22:28:35 | Java HotSpot(TM) 64-Bit Server VM warning: Ignoring option MaxPermSize; support was removed in 8.0
INFO   | jvm 2    | 2020/12/07 22:28:35 | Unrecognized VM option 'AggressiveOpts'
INFO   | jvm 2    | 2020/12/07 22:28:35 | Error: Could not create the Java Virtual Machine.
INFO   | jvm 2    | 2020/12/07 22:28:35 | Error: A fatal exception has occurred. Program will exit.
